Parish,State,Life_Expectancy,Population,Population_Under_18,Population_African_American,Population_Female,Population_Rural,Median_Household_Income,Graduation_Rate,Some_College_Rate,Child_Poverty_Rate,Income_Ratio_80pt20pt,Food_Insecure_Rate,Uninsured_Adults_Prev,Average_Healthcare_Costs,Physically_Inactive_Rate,Excessive_Drinking_Rate,Teen_Birth_Rate
Lee,MS,74.7,85300,25.71,28.77,52.11,45.36,43098,80.81,64.43,25.2,4.97,19.2,20.77,9561.06,33,13.73,60.38
Leflore,MS,71.5,30999,26.53,72.48,51.82,17.68,26520,67.76,49.1,55.3,6.81,33.9,26.17,9732.74,31.7,10.71,69.35
Lincoln,MS,73.2,34649,24.52,30.86,52.13,69.5,40627,75.92,58.84,27.8,4.9,20.1,21.67,9328.27,33.2,12.34,51.38
Lowndes,MS,75.4,59710,23.91,43.89,52.42,42.6,41880,77.49,61.55,36.3,5.54,24.1,20.15,9496.08,26.9,11.44,48.42
Madison,MS,76.6,103465,25.19,38.14,52.16,27.98,67482,78.66,78.03,18.5,4.96,17.3,16.31,9372.65,27.2,15.54,30.14
Marion,MS,72.2,25563,23.84,32.49,51.65,73.07,34742,79.77,48.41,36.5,5.96,22.2,24.52,11484.56,33.8,11.99,71.56
Marshall,MS,74.1,35916,21.95,47.48,50.64,83.42,38006,79.01,42.17,37.3,4.8,21.4,24.16,9869.41,36.5,12.31,50.88
Monroe,MS,75.3,35827,22.92,30.55,51.85,69.63,38893,74.68,53.52,30.6,4.82,21.1,24.39,11049.7,33.5,13.02,50.26
Montgomery,MS,73.7,10152,22.57,45.24,52.06,59.84,34264,63.73,50.54,38.3,6.48,24.2,23.35,12666.37,31.1,10.86,54.67
Neshoba,MS,70.2,29463,28.34,21.38,52.32,73.85,38068,79.13,51.07,34.7,4.78,18.4,28.23,12124.74,35,12.84,72.83
Newton,MS,73.5,21747,25.49,30.39,52.23,87.06,36991,78.68,60.59,31.4,4.42,19,23.54,12692.09,35.8,12.42,53.08
Noxubee,MS,73.7,11043,25.28,71.19,52.12,74.03,28041,72.5,40.03,46.9,5.01,31,28.86,12422.21,37.7,9.61,62.78
Oktibbeha,MS,77.8,49800,17.94,36.84,50.32,36.42,38011,75.54,75.87,30.8,7.77,24.9,21.89,8986.57,25.8,14.8,17.25
Panola,MS,72.7,34167,25.61,49.52,51.87,78.94,35517,68.94,50.89,38.5,4.69,24.3,23.57,10616.35,36.1,11.76,78.6
Pearl River,MS,74.4,55191,23.06,12.76,50.48,69.93,43420,75.48,54.75,30.6,5.06,16.8,22.77,10779.05,30.7,14.04,50.22
Perry,MS,75.3,12277,23.52,20.22,51.15,100,37777,51.82,47.41,32.8,4.52,18.8,24.45,12654.01,36.5,13.34,61.15
Pike,MS,72.2,39956,26.53,52.49,52.58,59.44,31976,74.35,52.28,43.1,5.8,24.8,23.64,10503.78,33.7,10.85,65.71
Pontotoc,MS,76.2,30908,26.34,15.27,50.43,83.95,39977,77.2,48.16,25.6,4.49,15.6,23.14,9080.59,32.4,13.75,65.6
Prentiss,MS,74.1,25459,22.95,14.2,50.82,76.06,38550,80.96,51.85,28.2,4.25,18.5,23.49,10710.34,38.9,13.69,58.8
Quitman,MS,70.9,7486,24.49,69.26,52.75,57,26467,72.5,35.61,56.8,5.16,31.8,27.02,9970.29,35.6,9.06,76.64
Rankin,MS,79,149039,24.21,20.37,51.72,33.91,58426,80.84,70.02,14.2,4.1,14.2,15.19,10188.81,28.5,14.95,37.03
Scott,MS,73.5,28265,26.28,37.11,51.11,72.17,34469,80.81,38.82,31.5,4.38,18.9,28.58,12482.63,33.2,11.58,75.19
Sharkey,MS,71.8,4585,24.97,69.07,54.35,100,27589,77.5,58.17,53.7,4.49,30.4,23.14,10538.79,37.1,9.17,82.54
Simpson,MS,74.4,27222,24.91,35.34,51.27,84.84,37742,73,44.8,35.3,4.9,19.8,22.92,11123.95,35.4,11.96,66.9
Smith,MS,75.9,16059,23.92,23.15,51.89,100,40637,76,51.87,27.1,5.41,17.7,21.37,12046.99,34.5,12.7,54.22
Stone,MS,74,18070,22.53,19.57,49.97,78.81,42295,77,47.47,30,3.87,17.2,21.94,12148.15,30,15.12,41.31
Sunflower,MS,71.5,27005,23.37,72.48,47.58,45.76,28184,77.5,44.65,50.6,5.49,32.3,24.56,12755.12,33.5,10.64,70.24
Tallahatchie,MS,74.5,14588,20.25,55.66,43.97,80.95,29474,76.51,28.55,45.2,5.34,22.2,24.11,11187.66,34.2,13.71,76.61
Tate,MS,74.9,28296,23.8,31.14,51.92,77.39,43376,78.44,54.51,29.1,4.4,19.6,22.86,11083.26,34.1,12.81,34.73
Tippah,MS,72.6,22131,24.61,16.25,50.77,83.84,38297,77.5,51.14,27.2,5,18.4,24.27,10145.44,35.9,14.15,60.25
Tishomingo,MS,72.6,19552,22.16,2.74,51.76,100,37740,77,46.17,24.9,4.07,15.4,23.2,11760.04,33,13.02,43.93
Tunica,MS,70.8,10343,29.77,75.26,53.09,66.02,30970,67.5,56.85,46.2,4.59,32.5,19.92,10678.39,35.5,10.67,97.76
Union,MS,76.1,28429,25.57,15.03,51.11,75.56,42120,80.13,47.2,25.1,4.12,17.4,24.5,10066.33,31.9,14.14,61.55
Walthall,MS,75.5,14638,23.93,43.15,51.99,100,31202,77.5,44.64,42.1,6.73,21.9,26.62,11546.45,34.3,11.16,52.92
Warren,MS,73.1,47485,24.58,48.11,52.41,40.89,40465,64,59.34,32.8,5.59,23.1,20.07,10850.04,32.9,12.13,64.1
Washington,MS,71.8,48130,26.48,70.95,53.29,17.52,27539,62.05,49.66,51.4,5.8,32.8,25.08,9922.2,35.2,9.59,80.62
Wayne,MS,75.1,20566,24.93,39.29,51.8,79.64,35989,75,45.65,35.8,5.71,22.5,24.22,9966.53,35,12.75,66.99
Webster,MS,73.7,9899,24.14,19.29,50.82,100,40214,82.5,56.7,30.2,5.62,19.6,22.91,10235.2,35,13.55,44.18
Wilkinson,MS,70.9,9122,21.9,69.74,46.44,100,28535,72.5,36.43,42.4,6.98,27.8,22.01,11187.59,34.5,11.83,71.96
Winston,MS,74.6,18317,23.73,46.31,50.96,75.91,35216,77.5,55.01,38.9,5.16,25.5,23.42,8812.45,38.2,11.14,48.51
Yalobusha,MS,73.2,12447,23.26,38.56,51.59,79.32,36062,73.33,50.59,33.4,4.94,22.1,21.94,10486.48,36.5,11.56,65.02
Yazoo,MS,72.8,27387,24.26,56.76,44.93,44.61,34218,72.5,41.89,43.4,6.19,28.3,23.83,10945.12,35.2,12.21,78.71
